Slice #,Xd,Yd
1,104.925053533191,223.340471092077
1,105.674518201285,223.340471092077
1,106.423982869379,223.340471092077
1,107.173447537473,222.591006423983
1,107.922912205567,222.591006423983
1,108.672376873662,223.340471092077
1,109.421841541756,222.591006423983
1,110.17130620985,222.591006423983
1,110.920770877944,222.591006423983
1,111.670235546039,221.841541755889
1,112.419700214133,221.841541755889
1,113.169164882227,221.092077087794
1,113.918629550321,221.092077087794
1,114.668094218415,220.3426124197
1,115.41755888651,219.593147751606
1,116.167023554604,218.843683083512
1,116.916488222698,218.094218415418
1,117.665952890792,217.344753747323
1,118.415417558887,216.595289079229
1,119.164882226981,215.845824411135
1,119.914346895075,215.845824411135
1,120.663811563169,215.096359743041
1,121.413276231263,214.346895074946
1,122.162740899358,213.597430406852
1,122.912205567452,213.597430406852
1,123.661670235546,212.847965738758
1,124.41113490364,212.847965738758
1,125.160599571734,212.098501070664
1,125.910064239829,211.34903640257
1,126.659528907923,210.599571734475
1,127.408993576017,210.599571734475
1,128.158458244111,209.850107066381
1,128.907922912206,209.100642398287
1,129.6573875803,209.100642398287
1,130.406852248394,208.351177730193
1,131.156316916488,208.351177730193
1,131.905781584582,207.601713062098
1,132.655246252677,207.601713062098
1,133.404710920771,207.601713062098
1,134.154175588865,206.852248394004
1,134.903640256959,206.852248394004
1,135.653104925054,206.10278372591
1,136.402569593148,206.10278372591
1,137.152034261242,205.353319057816
1,137.901498929336,205.353319057816
1,138.65096359743,204.603854389722
1,139.400428265525,204.603854389722
1,140.149892933619,203.854389721627
1,140.899357601713,203.854389721627
1,141.648822269807,203.104925053533
1,142.398286937902,202.355460385439
1,143.147751605996,202.355460385439
1,143.89721627409,201.605995717345
1,144.646680942184,201.605995717345
1,145.396145610278,201.605995717345
1,146.145610278373,201.605995717345
1,146.895074946467,201.605995717345
1,147.644539614561,201.605995717345
1,148.394004282655,201.605995717345
1,149.143468950749,202.355460385439
1,149.892933618844,202.355460385439
1,150.642398286938,203.104925053533
1,151.391862955032,203.104925053533
1,152.141327623126,203.854389721627
1,152.890792291221,203.854389721627
1,153.640256959315,203.854389721627
1,154.389721627409,203.854389721627
1,155.139186295503,203.854389721627
1,155.888650963597,203.854389721627
1,156.638115631692,203.854389721627
1,157.387580299786,203.854389721627
1,158.13704496788,203.854389721627
1,158.886509635974,203.854389721627
1,159.635974304069,203.854389721627
1,160.385438972163,203.104925053533
1,161.134903640257,203.104925053533
1,161.884368308351,203.104925053533
1,162.633832976445,203.104925053533
1,163.38329764454,203.104925053533
1,164.132762312634,202.355460385439
1,164.882226980728,202.355460385439
1,165.631691648822,202.355460385439
1,166.381156316916,201.605995717345
1,167.130620985011,201.605995717345
1,167.880085653105,200.856531049251
1,168.629550321199,200.856531049251
1,169.379014989293,200.107066381156
1,170.128479657388,200.107066381156
1,170.877944325482,200.107066381156
1,171.627408993576,200.107066381156
1,172.37687366167,200.107066381156
1,173.126338329764,200.107066381156
1,173.875802997859,200.107066381156
1,174.625267665953,200.856531049251
1,175.374732334047,200.856531049251
1,176.124197002141,200.856531049251
1,176.873661670236,200.856531049251
1,177.62312633833,201.605995717345
1,178.372591006424,201.605995717345
1,179.122055674518,201.605995717345
1,179.871520342612,201.605995717345
1,180.620985010707,202.355460385439
1,181.370449678801,202.355460385439
1,182.119914346895,202.355460385439
1,182.869379014989,202.355460385439
1,183.618843683083,202.355460385439
1,184.368308351178,202.355460385439
1,185.117773019272,202.355460385439
1,185.867237687366,202.355460385439
1,186.61670235546,202.355460385439
1,187.366167023555,202.355460385439
1,188.115631691649,203.104925053533
1,188.865096359743,203.104925053533
1,189.614561027837,203.854389721627
1,190.364025695931,203.854389721627
1,191.113490364026,204.603854389722
1,191.86295503212,205.353319057816
1,192.612419700214,206.10278372591
1,193.361884368308,206.852248394004
1,193.361884368308,207.601713062098
1,194.111349036403,208.351177730193
1,194.111349036403,209.100642398287
1,194.860813704497,209.850107066381
1,195.610278372591,210.599571734475
1,196.359743040685,211.34903640257
1,197.109207708779,212.098501070664
1,197.858672376874,212.847965738758
1,198.608137044968,212.847965738758
1,199.357601713062,213.597430406852
1,200.107066381156,213.597430406852
1,200.856531049251,214.346895074946
1,201.605995717345,214.346895074946
1,202.355460385439,214.346895074946
1,203.104925053533,214.346895074946
1,203.854389721627,215.096359743041
1,204.603854389722,215.096359743041
1,205.353319057816,215.096359743041
1,206.10278372591,215.845824411135
1,206.10278372591,216.595289079229
1,206.852248394004,217.344753747323
1,206.852248394004,218.094218415418
1,207.601713062098,218.843683083512
1,207.601713062098,219.593147751606
1,208.351177730193,220.3426124197
1,209.100642398287,221.092077087794
1,209.850107066381,221.841541755889
1,210.599571734475,221.841541755889
1,211.34903640257,222.591006423983
1,212.098501070664,223.340471092077
1,212.847965738758,224.089935760171
1,213.597430406852,224.839400428266
1,214.346895074946,224.839400428266
1,215.096359743041,225.58886509636
1,215.845824411135,225.58886509636
1,216.595289079229,226.338329764454
1,217.344753747323,226.338329764454
1,218.094218415418,226.338329764454
1,218.843683083512,226.338329764454
1,219.593147751606,227.087794432548
1,220.3426124197,227.087794432548
1,221.092077087794,227.837259100642
1,221.841541755889,228.586723768737
1,222.591006423983,229.336188436831
1,223.340471092077,230.085653104925
1,224.089935760171,230.835117773019
1,224.839400428266,230.835117773019
1,225.58886509636,231.584582441113
1,226.338329764454,231.584582441113
1,227.087794432548,232.334047109208
1,227.837259100642,233.083511777302
1,228.586723768737,233.832976445396
1,229.336188436831,234.58244111349
1,230.085653104925,234.58244111349
1,230.835117773019,235.331905781585
1,231.584582441113,236.081370449679
1,232.334047109208,236.081370449679
1,233.083511777302,236.830835117773
1,233.832976445396,237.580299785867
1,234.58244111349,237.580299785867
1,235.331905781585,238.329764453961
1,236.081370449679,238.329764453961
1,236.830835117773,239.079229122056
1,237.580299785867,239.82869379015
1,238.329764453961,239.82869379015
1,239.079229122056,240.578158458244
1,239.82869379015,241.327623126338
1,240.578158458244,242.077087794433
1,240.578158458244,242.826552462527
1,241.327623126338,243.576017130621
1,242.077087794433,244.325481798715
1,242.826552462527,245.074946466809
1,243.576017130621,245.824411134904
1,244.325481798715,246.573875802998
1,245.074946466809,247.323340471092
1,245.824411134904,247.323340471092
1,246.573875802998,248.072805139186
1,247.323340471092,248.822269807281
1,248.072805139186,249.571734475375
1,248.822269807281,250.321199143469
1,249.571734475375,251.070663811563
1,250.321199143469,251.820128479657
1,251.070663811563,252.569593147752
1,251.820128479657,253.319057815846
1,252.569593147752,253.319057815846
1,253.319057815846,254.06852248394
1,254.06852248394,254.817987152034
1,254.817987152034,254.817987152034
1,255.567451820128,255.567451820128
1,256.316916488223,256.316916488223
1,257.066381156317,257.066381156317
1,257.815845824411,257.815845824411
1,258.565310492505,258.565310492505
1,259.3147751606,259.3147751606
1,260.064239828694,260.064239828694
1,260.813704496788,260.813704496788
1,261.563169164882,261.563169164882
1,262.312633832976,262.312633832976
1,262.312633832976,263.062098501071
1,263.062098501071,263.811563169165
1,263.811563169165,264.561027837259
1,264.561027837259,265.310492505353
1,265.310492505353,265.310492505353
1,266.059957173448,266.059957173448
1,266.809421841542,266.059957173448
1,267.558886509636,266.059957173448
2,104.925053533191,221.092077087794
2,105.674518201285,221.092077087794
2,106.423982869379,221.841541755889
2,107.173447537473,221.092077087794
2,107.922912205567,221.841541755889
2,108.672376873662,221.092077087794
2,109.421841541756,221.092077087794
2,110.17130620985,221.092077087794
2,110.920770877944,221.092077087794
2,111.670235546039,220.3426124197
2,112.419700214133,219.593147751606
2,113.169164882227,218.843683083512
2,113.918629550321,218.843683083512
2,114.668094218415,218.094218415418
2,115.41755888651,217.344753747323
2,116.167023554604,216.595289079229
2,116.916488222698,215.845824411135
2,117.665952890792,215.096359743041
2,118.415417558887,214.346895074946
2,119.164882226981,214.346895074946
2,119.914346895075,213.597430406852
2,120.663811563169,212.847965738758
2,121.413276231263,212.847965738758
2,122.162740899358,212.098501070664
2,122.912205567452,212.098501070664
2,123.661670235546,211.34903640257
2,124.41113490364,210.599571734475
2,125.160599571734,210.599571734475
2,125.910064239829,210.599571734475
2,126.659528907923,209.850107066381
2,127.408993576017,209.850107066381
2,128.158458244111,209.100642398287
2,128.907922912206,209.100642398287
2,129.6573875803,209.100642398287
2,130.406852248394,209.100642398287
2,131.156316916488,209.100642398287
2,131.905781584582,208.351177730193
2,132.655246252677,208.351177730193
2,133.404710920771,208.351177730193
2,134.154175588865,208.351177730193
2,134.903640256959,208.351177730193
2,135.653104925054,207.601713062098
2,136.402569593148,207.601713062098
2,137.152034261242,206.852248394004
2,137.901498929336,206.852248394004
2,138.65096359743,206.10278372591
2,139.400428265525,205.353319057816
2,139.400428265525,204.603854389722
2,140.149892933619,203.854389721627
2,140.899357601713,203.104925053533
2,141.648822269807,202.355460385439
2,142.398286937902,201.605995717345
2,143.147751605996,200.856531049251
2,143.89721627409,200.856531049251
2,144.646680942184,200.856531049251
2,145.396145610278,200.107066381156
2,146.145610278373,200.107066381156
2,146.895074946467,200.107066381156
2,147.644539614561,200.107066381156
2,148.394004282655,199.357601713062
2,149.143468950749,199.357601713062
2,149.892933618844,198.608137044968
2,150.642398286938,198.608137044968
2,151.391862955032,198.608137044968
2,152.141327623126,198.608137044968
2,152.890792291221,198.608137044968
2,153.640256959315,198.608137044968
2,154.389721627409,198.608137044968
2,155.139186295503,198.608137044968
2,155.888650963597,198.608137044968
2,156.638115631692,198.608137044968
2,157.387580299786,198.608137044968
2,158.13704496788,197.858672376874
2,158.886509635974,197.858672376874
2,159.635974304069,197.858672376874
2,160.385438972163,197.858672376874
2,161.134903640257,197.858672376874
2,161.884368308351,198.608137044968
2,162.633832976445,198.608137044968
2,163.38329764454,199.357601713062
2,164.132762312634,199.357601713062
2,164.882226980728,200.107066381156
2,165.631691648822,200.856531049251
2,166.381156316916,200.856531049251
2,167.130620985011,200.856531049251
2,167.880085653105,200.856531049251
2,168.629550321199,200.856531049251
2,169.379014989293,200.856531049251
2,170.128479657388,200.856531049251
2,170.877944325482,200.107066381156
2,171.627408993576,200.107066381156
2,172.37687366167,200.107066381156
2,173.126338329764,199.357601713062
2,173.875802997859,199.357601713062
2,174.625267665953,200.107066381156
2,175.374732334047,200.107066381156
2,176.124197002141,200.107066381156
2,176.873661670236,200.107066381156
2,177.62312633833,200.107066381156
2,178.372591006424,200.107066381156
2,179.122055674518,200.107066381156
2,179.871520342612,200.107066381156
2,180.620985010707,199.357601713062
2,181.370449678801,199.357601713062
2,182.119914346895,199.357601713062
2,182.869379014989,199.357601713062
2,183.618843683083,199.357601713062
2,184.368308351178,199.357601713062
2,185.117773019272,199.357601713062
2,185.867237687366,199.357601713062
2,186.61670235546,200.107066381156
2,187.366167023555,200.107066381156
2,188.115631691649,200.107066381156
2,188.865096359743,200.856531049251
2,189.614561027837,201.605995717345
2,190.364025695931,202.355460385439
2,190.364025695931,203.104925053533
2,191.113490364026,203.854389721627
2,191.86295503212,204.603854389722
2,192.612419700214,205.353319057816
2,193.361884368308,206.10278372591
2,194.111349036403,206.852248394004
2,194.111349036403,207.601713062098
2,194.860813704497,208.351177730193
2,195.610278372591,209.100642398287
2,196.359743040685,209.100642398287
2,197.109207708779,209.850107066381
2,197.858672376874,210.599571734475
2,198.608137044968,210.599571734475
2,199.357601713062,211.34903640257
2,200.107066381156,212.098501070664
2,200.856531049251,212.847965738758
2,201.605995717345,213.597430406852
2,202.355460385439,213.597430406852
2,203.104925053533,213.597430406852
2,203.854389721627,213.597430406852
2,204.603854389722,214.346895074946
2,205.353319057816,214.346895074946
2,206.10278372591,215.096359743041
2,206.852248394004,215.096359743041
2,207.601713062098,215.845824411135
2,207.601713062098,216.595289079229
2,208.351177730193,217.344753747323
2,208.351177730193,218.094218415418
2,209.100642398287,218.843683083512
2,209.100642398287,219.593147751606
2,209.850107066381,220.3426124197
2,210.599571734475,221.092077087794
2,210.599571734475,221.841541755889
2,211.34903640257,222.591006423983
2,212.098501070664,222.591006423983
2,212.847965738758,223.340471092077
2,213.597430406852,224.089935760171
2,214.346895074946,224.839400428266
2,215.096359743041,225.58886509636
2,215.845824411135,225.58886509636
2,216.595289079229,225.58886509636
2,217.344753747323,225.58886509636
2,218.094218415418,226.338329764454
2,218.843683083512,226.338329764454
2,219.593147751606,227.087794432548
2,220.3426124197,227.087794432548
2,221.092077087794,227.837259100642
2,221.841541755889,228.586723768737
2,222.591006423983,229.336188436831
2,223.340471092077,230.085653104925
2,224.089935760171,230.835117773019
2,224.839400428266,230.835117773019
2,225.58886509636,231.584582441113
2,226.338329764454,232.334047109208
2,227.087794432548,233.083511777302
2,227.837259100642,233.083511777302
2,228.586723768737,233.832976445396
2,229.336188436831,234.58244111349
2,230.085653104925,234.58244111349
2,230.835117773019,235.331905781585
2,231.584582441113,235.331905781585
2,232.334047109208,236.081370449679
2,233.083511777302,236.081370449679
2,233.832976445396,236.830835117773
2,234.58244111349,237.580299785867
2,235.331905781585,238.329764453961
2,236.081370449679,239.079229122056
2,236.830835117773,239.82869379015
2,237.580299785867,240.578158458244
2,238.329764453961,241.327623126338
2,239.079229122056,242.077087794433
2,239.82869379015,242.826552462527
2,240.578158458244,243.576017130621
2,241.327623126338,244.325481798715
2,242.077087794433,245.074946466809
2,242.826552462527,245.824411134904
2,243.576017130621,245.824411134904
2,244.325481798715,246.573875802998
2,245.074946466809,246.573875802998
2,245.824411134904,246.573875802998
2,246.573875802998,246.573875802998
2,247.323340471092,247.323340471092
2,247.323340471092,248.072805139186
2,248.072805139186,248.822269807281
2,248.822269807281,249.571734475375
2,249.571734475375,250.321199143469
2,250.321199143469,251.070663811563
2,251.070663811563,251.820128479657
2,251.820128479657,252.569593147752
2,252.569593147752,252.569593147752
2,253.319057815846,252.569593147752
2,254.06852248394,253.319057815846
2,254.817987152034,253.319057815846
2,255.567451820128,254.06852248394
2,256.316916488223,254.817987152034
2,257.066381156317,255.567451820128
2,257.815845824411,256.316916488223
2,258.565310492505,257.066381156317
2,259.3147751606,257.815845824411
2,260.064239828694,258.565310492505
2,260.064239828694,259.3147751606
2,260.813704496788,260.064239828694
2,260.813704496788,260.813704496788
2,261.563169164882,261.563169164882
2,261.563169164882,262.312633832976
2,262.312633832976,263.062098501071
2,263.062098501071,263.811563169165
2,263.062098501071,264.561027837259
2,263.811563169165,265.310492505353
2,264.561027837259,266.059957173448
2,265.310492505353,266.059957173448
2,266.059957173448,266.809421841542
2,266.809421841542,266.809421841542
2,267.558886509636,266.809421841542
3,104.925053533191,221.841541755889
3,105.674518201285,221.841541755889
3,106.423982869379,221.092077087794
3,107.173447537473,221.841541755889
3,107.922912205567,221.092077087794
3,107.922912205567,220.3426124197
3,108.672376873662,221.092077087794
3,109.421841541756,221.092077087794
3,110.17130620985,220.3426124197
3,110.920770877944,220.3426124197
3,111.670235546039,220.3426124197
3,112.419700214133,219.593147751606
3,113.169164882227,219.593147751606
3,113.918629550321,219.593147751606
3,114.668094218415,218.843683083512
3,115.41755888651,218.094218415418
3,116.167023554604,218.094218415418
3,116.916488222698,217.344753747323
3,117.665952890792,216.595289079229
3,118.415417558887,215.845824411135
3,119.164882226981,215.096359743041
