Slice #,Xt,Yt
1,175,190.772532188841
1,175.751072961373,190.021459227468
1,175.751072961373,189.270386266094
1,175.751072961373,188.519313304721
1,175.751072961373,187.768240343348
1,175.751072961373,187.017167381974
1,175.751072961373,186.266094420601
1,175.751072961373,185.515021459227
1,175.751072961373,184.763948497854
1,176.502145922747,184.012875536481
1,176.502145922747,183.261802575107
1,177.25321888412,182.510729613734
1,177.25321888412,181.759656652361
1,177.25321888412,181.008583690987
1,177.25321888412,180.257510729614
1,177.25321888412,179.50643776824
1,177.25321888412,178.755364806867
1,178.004291845494,178.755364806867
1,178.004291845494,179.50643776824
1,178.755364806867,180.257510729614
1,179.50643776824,180.257510729614
1,180.257510729614,180.257510729614
1,180.257510729614,181.008583690987
1,181.008583690987,181.759656652361
1,181.759656652361,181.759656652361
1,182.510729613734,181.759656652361
1,183.261802575107,181.759656652361
1,184.012875536481,181.759656652361
1,184.763948497854,181.759656652361
1,185.515021459227,181.759656652361
1,186.266094420601,181.759656652361
1,187.017167381974,181.008583690987
1,187.017167381974,180.257510729614
1,187.768240343348,180.257510729614
1,188.519313304721,180.257510729614
1,189.270386266094,180.257510729614
1,190.021459227468,179.50643776824
1,190.021459227468,178.755364806867
1,190.772532188841,178.755364806867
1,190.772532188841,179.50643776824
1,191.523605150215,180.257510729614
1,192.274678111588,180.257510729614
1,193.025751072961,180.257510729614
1,193.776824034335,180.257510729614
1,194.527896995708,180.257510729614
1,194.527896995708,181.008583690987
1,195.278969957082,181.759656652361
1,196.030042918455,181.759656652361
1,196.781115879828,181.759656652361
1,197.532188841202,181.759656652361
1,198.283261802575,181.759656652361
1,199.034334763948,181.759656652361
1,199.785407725322,181.759656652361
1,200.536480686695,181.759656652361
1,201.287553648069,181.759656652361
1,202.038626609442,181.759656652361
1,202.789699570815,181.759656652361
1,202.789699570815,182.510729613734
1,203.540772532189,183.261802575107
1,203.540772532189,184.012875536481
1,204.291845493562,184.763948497854
1,204.291845493562,185.515021459227
1,205.042918454936,186.266094420601
1,205.042918454936,187.017167381974
1,205.793991416309,187.768240343348
1,206.545064377682,187.768240343348
1,207.296137339056,187.768240343348
1,207.296137339056,188.519313304721
1,208.047210300429,189.270386266094
1,208.047210300429,190.021459227468
1,208.798283261803,190.772532188841
1,209.549356223176,190.772532188841
1,209.549356223176,191.523605150215
1,210.300429184549,192.274678111588
1,210.300429184549,193.025751072961
1,210.300429184549,193.776824034335
1,210.300429184549,194.527896995708
1,211.051502145923,195.278969957082
1,211.051502145923,196.030042918455
1,211.802575107296,196.781115879828
1,211.802575107296,197.532188841202
1,211.802575107296,198.283261802575
1,211.802575107296,199.034334763948
1,211.051502145923,199.785407725322
1,211.051502145923,200.536480686695
1,211.051502145923,201.287553648069
1,211.051502145923,202.038626609442
1,211.051502145923,202.789699570815
1,211.051502145923,203.540772532189
1,211.051502145923,204.291845493562
1,211.051502145923,205.042918454936
1,211.051502145923,205.793991416309
1,211.051502145923,206.545064377682
1,210.300429184549,206.545064377682
1,209.549356223176,207.296137339056
1,209.549356223176,208.047210300429
1,208.798283261803,208.798283261803
1,208.798283261803,209.549356223176
1,208.047210300429,210.300429184549
1,208.047210300429,211.051502145923
1,207.296137339056,211.802575107296
1,207.296137339056,212.55364806867
1,206.545064377682,213.304721030043
1,206.545064377682,214.055793991416
1,206.545064377682,214.80686695279
1,206.545064377682,215.557939914163
1,206.545064377682,216.309012875536
1,206.545064377682,217.06008583691
1,205.793991416309,217.811158798283
1,205.793991416309,218.562231759657
1,205.793991416309,219.31330472103
1,205.793991416309,220.064377682403
