Slice #,Xd,Yd,Xt,Yt
197,170.49356223176,199.500831110802,212.035301940398,150.292167885712
198,170.49356223176,199.121604070572,213.134022629731,151.447034724932
199,170.49356223176,201.452835130065,213.238347140433,152.446850983132
200,170.49356223176,201.681762061796,213.478580511842,153.031115879829
201,170.49356223176,202.795846049418,213.145840211291,154.71741911522
202,170.49356223176,203.913553787032,212.789901065909,155.334582602914
203,170.49356223176,201.979134041336,213.088658945264,153.726458541557
204,170.49356223176,201.646417137451,212.700448692938,153.270093640266
205,170.49356223176,201.668352048915,212.366745119756,152.852000553787
206,170.49356223176,200.985291209467,212.380323539122,151.570601829375
207,170.49356223176,200.575069882789,212.452606863104,151.868300005774
208,170.49356223176,200.793216425529,212.302141985274,151.682285309289
209,170.49356223176,199.85099332439,213.229969692655,150.677338648984
210,170.49356223176,199.795605535038,213.717811158798,151.638216933281
211,170.49356223176,199.970149493049,213.74738238892,151.491779146193
212,170.49356223176,201.018038578506,213.654057291147,152.485277971854
213,170.49356223176,202.573188525861,213.026545859164,153.629192497219
214,170.49356223176,203.989011165212,213.826593322453,155.288742469121
215,170.49356223176,204.087814472552,213.019591479892,154.97138769671
216,170.49356223176,202.009059374983,212.085088790015,154.228353742568
217,170.49356223176,201.113015034821,212.600143061516,153.655221745351
218,170.49356223176,202.27043436897,212.505634272052,152.419797362181
219,170.49356223176,200.686780795194,211.87872075315,152.017859615119
220,170.49356223176,201.248948417682,212.557125258306,151.355110475282
221,170.49356223176,199.307724787412,212.757209899322,151.944867835225
222,170.49356223176,199.235768229654,212.453734693074,151.671949442848
223,170.49356223176,200.45572664739,213.084639185547,151.405828925042
224,170.49356223176,199.406399820416,213.389748157746,151.41205765649
225,170.49356223176,198.166713878749,213.418939498823,150.519174858092
226,170.49356223176,197.767839486048,213.507993070048,151.39977162657
227,170.49356223176,198.469623033795,214.203842027072,152.142827665897
228,170.49356223176,202.606406234133,213.706457730312,152.838107595569
229,170.49356223176,202.685861495786,213.247496423462,153.962804005723
230,170.49356223176,204.722729677871,213.577203313704,155.101806567522
231,170.49356223176,204.352962869924,212.612217978501,154.752037642241
232,170.49356223176,202.349141363663,212.858230652084,155.025612626333
233,170.49356223176,201.805471969385,213.103476600201,154.350884038031
234,170.49356223176,201.927802927862,211.843173645749,152.417062985733
235,170.49356223176,201.21380659437,212.712131354097,152.092274678112
236,170.49356223176,199.643894408842,212.711583971762,152.046648750552
237,170.49356223176,200.164891314224,212.229790920187,150.324841516715
238,170.49356223176,199.583824606225,213.006448035813,150.929728730723
239,170.49356223176,198.124581104121,213.252563185503,151.403791130186
